COUNTRY NAME,WHO REGION,ISO CODE,ALL LTBI,POPULATION,01-05 MIGRANT,06-10 MIGRANT,11-15 MIGRANT,16-21 MIGRANT,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,LATITUDE,LONGITUDE
,,,,,,,1119874,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,ALL LTBI,ALL (Low),,,,,,,,,,,,,,,,,,,,,,
,,,,,,Expected prev (2011-2015):,21.71505018,18.77451985,,,,,,,,,,,,,,,,,,,,,,
